Method,n,k,elapsed
BruteForce,1024,8,9897
BruteForceIdiomatic,1024,8,10058
Heap,1024,8,57818
BST,1024,8,67079
Linear,1024,8,15507
BruteForce,1024,16,16323
BruteForceIdiomatic,1024,16,17591
Heap,1024,16,41098
BST,1024,16,97694
Linear,1024,16,16757
BruteForce,1024,32,39531
BruteForceIdiomatic,1024,32,41605
Heap,1024,32,30600
BST,1024,32,106180
Linear,1024,32,17817
BruteForce,1024,64,77137
BruteForceIdiomatic,1024,64,84839
Heap,1024,64,24830
BST,1024,64,118717
Linear,1024,64,15611
BruteForce,1024,128,144018
BruteForceIdiomatic,1024,128,154564
Heap,1024,128,20702
BST,1024,128,125955
Linear,1024,128,15803
BruteForce,1024,256,245992
BruteForceIdiomatic,1024,256,242360
Heap,1024,256,20159
BST,1024,256,128377
Linear,1024,256,16495
BruteForce,1024,512,329029
BruteForceIdiomatic,1024,512,342829
Heap,1024,512,19517
BST,1024,512,128015
Linear,1024,512,16918
BruteForce,1024,1024,1354
BruteForceIdiomatic,1024,1024,1379
Heap,1024,1024,15371
BST,1024,1024,103678
Linear,1024,1024,12652
BruteForce,2048,8,19614
BruteForceIdiomatic,2048,8,19969
Heap,2048,8,120114
BST,2048,8,138628
Linear,2048,8,41028
BruteForce,2048,16,38640
BruteForceIdiomatic,2048,16,41529
Heap,2048,16,96417
BST,2048,16,206787
Linear,2048,16,44289
BruteForce,2048,32,80039
BruteForceIdiomatic,2048,32,84361
Heap,2048,32,68954
BST,2048,32,226051
Linear,2048,32,37584
BruteForce,2048,64,159478
BruteForceIdiomatic,2048,64,149141
Heap,2048,64,48679
BST,2048,64,214842
Linear,2048,64,36460
BruteForce,2048,128,308511
BruteForceIdiomatic,2048,128,330884
Heap,2048,128,51080
BST,2048,128,254561
Linear,2048,128,37117
BruteForce,2048,256,575047
BruteForceIdiomatic,2048,256,607745
Heap,2048,256,46099
BST,2048,256,267337
Linear,2048,256,36334
BruteForce,2048,512,984734
BruteForceIdiomatic,2048,512,1038713
Heap,2048,512,43002
BST,2048,512,295073
Linear,2048,512,34535
BruteForce,2048,1024,1314682
BruteForceIdiomatic,2048,1024,1296197
Heap,2048,1024,38715
BST,2048,1024,261888
Linear,2048,1024,30457
BruteForce,4096,8,36286
BruteForceIdiomatic,4096,8,37211
Heap,4096,8,255639
BST,4096,8,295385
Linear,4096,8,70314
BruteForce,4096,16,70067
BruteForceIdiomatic,4096,16,75357
Heap,4096,16,195505
BST,4096,16,359688
Linear,4096,16,67661
BruteForce,4096,32,141297
BruteForceIdiomatic,4096,32,144067
Heap,4096,32,135894
BST,4096,32,376774
Linear,4096,32,66727
BruteForce,4096,64,275553
BruteForceIdiomatic,4096,64,302107
Heap,4096,64,102426
BST,4096,64,399805
Linear,4096,64,62896
BruteForce,4096,128,540995
BruteForceIdiomatic,4096,128,565444
Heap,4096,128,83599
BST,4096,128,442286
Linear,4096,128,61833
BruteForce,4096,256,1015047
BruteForceIdiomatic,4096,256,1081163
Heap,4096,256,81837
BST,4096,256,466058
Linear,4096,256,60658
BruteForce,4096,512,1893441
BruteForceIdiomatic,4096,512,2003944
Heap,4096,512,76746
BST,4096,512,500120
Linear,4096,512,61059
BruteForce,4096,1024,3263491
BruteForceIdiomatic,4096,1024,3423844
Heap,4096,1024,74522
BST,4096,1024,540945
Linear,4096,1024,58869
BruteForce,8192,8,64292
BruteForceIdiomatic,8192,8,65710
Heap,8192,8,513472
BST,8192,8,548934
Linear,8192,8,132009
BruteForce,8192,16,131853
BruteForceIdiomatic,8192,16,141607
Heap,8192,16,381762
BST,8192,16,656774
Linear,8192,16,128070
BruteForce,8192,32,266882
BruteForceIdiomatic,8192,32,281006
Heap,8192,32,286486
BST,8192,32,758557
Linear,8192,32,125741
BruteForce,8192,64,540431
BruteForceIdiomatic,8192,64,593961
Heap,8192,64,225590
BST,8192,64,830775
Linear,8192,64,125314
BruteForce,8192,128,1067554
BruteForceIdiomatic,8192,128,1143222
Heap,8192,128,198825
BST,8192,128,906630
Linear,8192,128,127714
BruteForce,8192,256,2098324
BruteForceIdiomatic,8192,256,2241482
Heap,8192,256,169587
BST,8192,256,962588
Linear,8192,256,139617
BruteForce,8192,512,4100170
BruteForceIdiomatic,8192,512,4312477
Heap,8192,512,162040
BST,8192,512,1041127
Linear,8192,512,125585
BruteForce,8192,1024,7576691
BruteForceIdiomatic,8192,1024,7997618
Heap,8192,1024,163639
BST,8192,1024,1141165
Linear,8192,1024,129431
BruteForce,16384,8,131903
BruteForceIdiomatic,16384,8,131270
Heap,16384,8,1143341
BST,16384,8,1089913
Linear,16384,8,254688
BruteForce,16384,16,255660
BruteForceIdiomatic,16384,16,282739
Heap,16384,16,792633
BST,16384,16,1335155
Linear,16384,16,255860
BruteForce,16384,32,535076
BruteForceIdiomatic,16384,32,579684
Heap,16384,32,616441
BST,16384,32,1459036
Linear,16384,32,254042
BruteForce,16384,64,1113159
BruteForceIdiomatic,16384,64,1196628
Heap,16384,64,452880
BST,16384,64,1647045
Linear,16384,64,251537
BruteForce,16384,128,2151251
BruteForceIdiomatic,16384,128,2332717
Heap,16384,128,394611
BST,16384,128,1803665
Linear,16384,128,254298
BruteForce,16384,256,4301816
BruteForceIdiomatic,16384,256,4538922
Heap,16384,256,360068
BST,16384,256,1977214
Linear,16384,256,250151
BruteForce,16384,512,8420611
BruteForceIdiomatic,16384,512,8910554
Heap,16384,512,330363
BST,16384,512,2124102
Linear,16384,512,255174
BruteForce,16384,1024,16405676
BruteForceIdiomatic,16384,1024,17222457
Heap,16384,1024,335626
BST,16384,1024,2296342
Linear,16384,1024,247253
BruteForce,32768,8,263344
BruteForceIdiomatic,32768,8,270845
Heap,32768,8,2350785
BST,32768,8,2160648
Linear,32768,8,510822
BruteForce,32768,16,511619
BruteForceIdiomatic,32768,16,550062
Heap,32768,16,1906051
BST,32768,16,2725269
Linear,32768,16,509101
BruteForce,32768,32,1070912
BruteForceIdiomatic,32768,32,1126437
Heap,32768,32,1370669
BST,32768,32,3029613
Linear,32768,32,508638
BruteForce,32768,64,2184436
BruteForceIdiomatic,32768,64,2420526
Heap,32768,64,1014564
BST,32768,64,3257117
Linear,32768,64,505435
BruteForce,32768,128,4341359
BruteForceIdiomatic,32768,128,4658016
Heap,32768,128,821625
BST,32768,128,3533174
Linear,32768,128,505735
BruteForce,32768,256,8691976
BruteForceIdiomatic,32768,256,9119845
Heap,32768,256,744947
BST,32768,256,3888376
Linear,32768,256,505616
BruteForce,32768,512,17280449
BruteForceIdiomatic,32768,512,18062864
Heap,32768,512,693309
BST,32768,512,4125625
Linear,32768,512,496631
BruteForce,32768,1024,33815108
BruteForceIdiomatic,32768,1024,35611186
Heap,32768,1024,649401
BST,32768,1024,4619620
Linear,32768,1024,497440
BruteForce,65536,8,530151
BruteForceIdiomatic,65536,8,525980
Heap,65536,8,5186620
BST,65536,8,4375567
Linear,65536,8,1029648
BruteForce,65536,16,1023020
BruteForceIdiomatic,65536,16,1121001
Heap,65536,16,4080722
BST,65536,16,5294222
Linear,65536,16,1028601
BruteForce,65536,32,2170450
BruteForceIdiomatic,65536,32,2254489
Heap,65536,32,2633113
BST,65536,32,5900091
Linear,65536,32,1027250
BruteForce,65536,64,4379396
BruteForceIdiomatic,65536,64,4800535
Heap,65536,64,2198000
BST,65536,64,6413294
Linear,65536,64,1022070
BruteForce,65536,128,8698899
BruteForceIdiomatic,65536,128,9356415
Heap,65536,128,1838533
BST,65536,128,7111823
Linear,65536,128,1025162
BruteForce,65536,256,17458987
BruteForceIdiomatic,65536,256,18498437
Heap,65536,256,1595367
BST,65536,256,7567889
Linear,65536,256,1003284
BruteForce,65536,512,34790390
BruteForceIdiomatic,65536,512,36586573
Heap,65536,512,1409423
BST,65536,512,8378806
Linear,65536,512,1014210
BruteForce,65536,1024,68922584
BruteForceIdiomatic,65536,1024,72328540
Heap,65536,1024,1307782
BST,65536,1024,9212106
Linear,65536,1024,1004459
BruteForce,131072,8,1028464
BruteForceIdiomatic,131072,8,1051583
Heap,131072,8,11343290
BST,131072,8,8763517
Linear,131072,8,2049357
BruteForce,131072,16,2085840
BruteForceIdiomatic,131072,16,2226662
Heap,131072,16,9249478
BST,131072,16,10608664
Linear,131072,16,2038544
BruteForce,131072,32,4290630
BruteForceIdiomatic,131072,32,4511757
Heap,131072,32,6451438
BST,131072,32,11825050
Linear,131072,32,2037318
BruteForce,131072,64,8801370
BruteForceIdiomatic,131072,64,9625519
Heap,131072,64,4827547
BST,131072,64,12936168
Linear,131072,64,2028461
BruteForce,131072,128,17557598
BruteForceIdiomatic,131072,128,18809630
Heap,131072,128,3614414
BST,131072,128,14073514
Linear,131072,128,2003385
BruteForce,131072,256,35002773
BruteForceIdiomatic,131072,256,36968334
Heap,131072,256,3080543
BST,131072,256,15357099
Linear,131072,256,2019929
BruteForce,131072,512,69672889
BruteForceIdiomatic,131072,512,73572571
Heap,131072,512,2886752
BST,131072,512,16782915
Linear,131072,512,1998773
BruteForce,131072,1024,139050566
BruteForceIdiomatic,131072,1024,146020713
Heap,131072,1024,2684941
BST,131072,1024,19016772
Linear,131072,1024,1992525
